Timestamp,MagX,MagY,MagZ,AreaCode,LocationCode
1717674221039,23.681252,-16.125,-38.1375,B,B1
1717674222044,20.90625,-20.118752,-38.4,B,B1
1717674223045,19.35,-22.518751,-38.625,B,B1
1717674224043,19.0125,-24.337502,-37.93125,B,B1
1717674225042,18.6,-26.812502,-36.28125,B,B1
1717674226054,17.775002,-29.19375,-34.537502,B,B1
1717674227053,17.025002,-31.06875,-33.2625,B,B1
1717674228056,14.868751,-35.362503,-31.837502,B,B1
1717674229051,14.306251,-37.96875,-29.775002,B,B1
1717674230632,14.156251,-39.862503,-27.956251,B,B1
1717674231625,14.137501,-41.5125,-26.1375,B,B1
1717674232628,13.89375,-42.61875,-24.937502,B,B1
1717674233620,13.781251,-40.350002,-26.5125,B,B1
1717674234626,12.993751,-34.0125,-29.493752,B,B1
1717674235624,12.375001,-27.13125,-32.41875,B,B1
1717674236627,13.14375,-20.98125,-34.987503,B,B1
1717674238103,13.89375,-14.981251,-37.59375,B,B1
1717674239079,14.55,-8.962501,-40.2,B,B1
1717674240093,15.1125,-3.075,-42.80625,B,B1
1717674241076,15.58125,2.625,-45.28125,B,B1
1717674242101,16.06875,5.8500004,-45.881252,B,B1
1717674243083,17.71875,5.5875,-45.5625,B,B1
1717674244094,19.29375,4.78125,-45.300003,B,B1
1717674245093,19.425001,4.70625,-45.43125,B,B1
1717674246097,19.44375,4.70625,-45.46875,B,B1
1717674247079,19.462502,4.6875,-45.46875,B,B1
1717674248101,19.5,4.7250004,-45.43125,B,B1
1717674249078,19.5375,4.6875,-45.45,B,B1
1717674250095,19.5375,4.74375,-45.46875,B,B1
1717674251085,19.5375,4.7250004,-45.525,B,B1
1717674252098,19.5375,4.7625003,-45.46875,B,B1
1717674253093,19.5375,4.78125,-45.487503,B,B1
1717674254090,19.5375,4.8187504,-45.45,B,B1
1717674255081,19.5375,4.8562503,-45.46875,B,B1
1717674256103,19.5375,4.8562503,-45.506252,B,B1
1717674257077,19.518751,4.8562503,-45.506252,B,B1
1717674258099,19.5375,4.8375,-45.412502,B,B1
1717674259078,19.518751,4.8187504,-45.393753,B,B1
1717674260110,19.59375,4.8375,-45.35625,B,B1
1717674261101,19.931252,4.0125003,-45.037502,B,B1
1717674262120,20.53125,0.69375,-44.60625,B,B1
1717674263098,20.19375,-2.025,-44.2125,B,B1
1717674264117,19.66875,-4.3875003,-43.93125,B,B1
1717674265386,19.050001,-6.76875,-43.6875,B,B1
1717674266370,18.431252,-9.20625,-43.518753,B,B1
1717674267396,17.831251,-11.606251,-43.2,B,B1
1717674268377,17.19375,-13.9875,-43.050003,B,B1
1717674269395,16.3125,-15.543751,-43.0875,B,B1
1717674270373,15.13125,-14.606251,-43.3125,B,B1
1717674271395,14.906251,-14.2875,-43.4625,B,B1
1717674272376,14.85,-14.343751,-43.5,B,B1
1717674273395,14.906251,-14.26875,-43.48125,B,B1
1717674274378,14.94375,-14.26875,-43.443752,B,B1
1717674275399,14.94375,-14.26875,-43.55625,B,B1
1717674276373,14.962501,-14.250001,-43.518753,B,B1
1717674277396,14.906251,-14.26875,-43.5,B,B1
1717674278376,14.906251,-14.2875,-43.4625,B,B1
